sigle,before,pref
ANG1903, 0 , 1.0
ANG1913, 0 , 1.0
ANG1921, 0 , 1.0
ANT1511, 0 , 1.0
BCM1501, 1 , 1.0
BCM1502, 0 , 1.0
BCM1503, 1 , 1.0
BCM1521, 0 , 1.0
BCM2002, 0 , 1.0
BCM2003, 0 , 1.0
BCM2004, 0 , 1.0
BCM2501, 0 , 1.0
BCM2502, 0 , 1.0
BCM2503, 0 , 1.0
BCM2505, 0 , 1.0
BCM2532, 0 , 1.0
BCM2550, 1 , 1.0
BCM2562, 0 , 1.0
BCM3512, 0 , 1.0
BCM3514, 0 , 1.0
BCM3515, 0 , 1.0
BCM3525, 0 , 1.0
BCM3526, 0 , 100.0
BIN1002, 1 , 1.0
BIN3002, 0 , 1.0
BIN3005, 0 , 1.0
BIO1153, 1 , 1.0
BIO1284, 0 , 1.0
BIO1534, 0 , 1.0
BIO1634, 0 , 1.0
BIO1803, 1 , 1.0
BIO2043, 0 , 1.0
BIO2306, 0 , 1.0
BIO2405, 1 , 1.0
BIO3203, 0 , 1.0
BIO3204, 0 , 1.0
BIO3283, 0 , 1.0
CHM1301, 0 , 1.0
CHM1302, 0 , 1.0
CHM1990, 0 , 1.0
CHM3450, 0 , 1.0
DMO1000, 0 , 1.0
GEO1532, 0 , 1.0
GEO2512, 0 , 1.0
IFT1005, 1 , 1.0
IFT1015, 1 , 1.0
IFT1025, 0 , 1.0
IFT1065, 1 , 1.0
IFT1215, 0 , 1.0
IFT1575, 1 , 1.0
IFT2015, 0 , 1.0
IFT2035, 0 , 1.0
IFT2105, 0 , -100
IFT2125, 0 , -100
IFT2255, 0 , 1.0
IFT2425, 0 , 1.0
IFT2505, 0 , 1.0
IFT2905, 0 , 1.0
IFT2935, 0 , 1.0
IFT3065, 0 , 1.0
IFT3205, 0 , 1.0
IFT3225, 0 , 1.0
IFT3245, 0 , 1.0
IFT3295, 0 , 1.0
IFT3335, 0 , 1.0
IFT3355, 0 , 1.0
IFT3375, 0 , 1.0
IFT3395, 0 , 1.0
IFT3515, 0 , 1.0
IFT3545, 0 , 1.0
IFT3655, 0 , 1.0
IFT3700, 0 , 1.0
IFT3911, 0 , 1.0
IFT3913, 0 , 1.0
MAT1400, 1 , 1.0
MAT1600, 0 , -100
MAT1720, 0 , 1.0
MAT1978, 0 , 1.0
MAT2531, 0 , 1.0
MAT2717, 0 , 1.0
MCB1979, 0 , 1.0
PBC3060, 0 , 1.0
PHI1130, 0 , 1.0
PHI1300, 0 , 1.0
PHI1365, 0 , 1.0
PHI2418, 0 , 1.0
PHL2100, 0 , 1.0
PHL3600, 0 , 1.0
PHY1234, 0 , 1.0
PHY1973, 0 , 1.0
POL3235, 0 , 1.0
PSL1982, 0 , 1.0
PSL3062, 0 , 1.0
PSY1035, 0 , 1.0
REI1030, 0 , 1.0
SOL3410, 0 , 1.0
STT1700, 0 , 100.0
STT2000, 0 , 1.0
STT2700, 0 , 1.0
STT3510, 0 , 1.0
